fn,label,pos,cluster
1103.wav,,1,-1
1104.wav,,1,59
1105.wav,,1,59
1106.wav,,1,48
1107.wav,,1,-1
1109.wav,,1,-1
1110.wav,,1,48
1112.wav,,1,-1
1123.wav,,1,-1
1124.wav,,1,48
1126.wav,,1,59
1129.wav,,1,-1
1130.wav,,1,-1
1133.wav,,1,-1
1134.wav,,1,-1
1141.wav,,1,-1
1142.wav,,1,59
1143.wav,,1,59
1144.wav,,1,-1
1145.wav,,1,-1
1148.wav,,1,-1
1149.wav,,1,-1
1150.wav,,1,-1
1151.wav,,1,-1
1154.wav,,1,-1
1155.wav,,1,59
1173.wav,,1,-1
1174.wav,,1,52
1175.wav,,1,52
1176.wav,,1,-1
1177.wav,,1,52
1178.wav,,1,-1
1179.wav,,1,-1
1181.wav,,1,52
1182.wav,,1,52
1183.wav,,1,24
1185.wav,,1,18
1186.wav,,1,-1
1187.wav,,1,31
1188.wav,,1,31
1189.wav,,1,-1
1190.wav,,1,24
1192.wav,,1,-1
1193.wav,,1,-1
1194.wav,,1,24
1195.wav,,1,-1
1196.wav,,1,24
1197.wav,,1,27
1199.wav,,1,24
1200.wav,,1,-1
1201.wav,,1,-1
1202.wav,,1,-1
1203.wav,,1,-1
1204.wav,,1,-1
1205.wav,,1,24
1207.wav,,1,27
1208.wav,,1,24
1209.wav,,1,24
1210.wav,,1,-1
1211.wav,,1,24
1212.wav,,1,-1
1214.wav,,1,48
1215.wav,,1,-1
1216.wav,,1,-1
1218.wav,,1,48
1221.wav,,1,48
1222.wav,,1,-1
1223.wav,,1,-1
1224.wav,,1,-1
1225.wav,,1,48
1227.wav,,1,-1
1228.wav,,1,-1
1229.wav,,1,25
1230.wav,,1,-1
1231.wav,,1,25
1232.wav,,1,45
1233.wav,,1,-1
1234.wav,,1,25
1235.wav,,1,44
1236.wav,,1,-1
1237.wav,,1,-1
1238.wav,,1,-1
1239.wav,,1,25
1240.wav,,1,-1
1241.wav,,1,47
1242.wav,,1,40
1245.wav,,1,38
1247.wav,N9,1,-1
1248.wav,,1,44
1249.wav,,1,-1
1250.wav,,1,-1
1251.wav,,1,-1
1253.wav,,1,-1
1254.wav,,1,-1
1255.wav,,1,-1
1256.wav,,1,-1
1257.wav,,1,-1
1259.wav,,1,-1
1260.wav,,1,-1
1261.wav,,1,56
1262.wav,,1,48
1263.wav,,1,48
1266.wav,,1,48
1267.wav,,1,-1
1270.wav,,1,48
1272.wav,,1,48
1275.wav,,1,-1
1276.wav,,1,-1
1277.wav,,1,48
1278.wav,,1,-1
1279.wav,,1,48
1280.wav,,1,-1
1281.wav,,1,-1
1282.wav,,1,-1
1283.wav,,1,-1
1284.wav,,1,17
1285.wav,,1,27
1287.wav,,1,24
1288.wav,,1,17
1289.wav,,1,-1
1290.wav,,1,-1
1291.wav,,1,-1
1292.wav,,1,-1
1293.wav,,1,-1
1294.wav,,1,-1
1295.wav,,1,0
1296.wav,,1,52
1297.wav,,1,52
1298.wav,,1,52
1300.wav,,1,52
1301.wav,,1,52
1303.wav,,1,-1
1305.wav,,1,52
1306.wav,,1,52
1307.wav,,1,-1
1309.wav,,1,-1
1310.wav,N3,1,-1
1311.wav,,1,-1
1312.wav,N3,1,-1
1314.wav,,1,-1
1315.wav,,1,-1
1316.wav,N3,1,-1
1317.wav,N3,1,-1
1318.wav,,1,-1
1319.wav,N3,1,-1
1320.wav,,1,-1
1321.wav,N3,1,-1
1322.wav,,1,-1
1323.wav,,1,-1
1324.wav,,1,-1
1325.wav,,1,-1
1329.wav,,1,-1
1331.wav,,1,-1
1332.wav,,1,48
1334.wav,,1,-1
1338.wav,,1,-1
1339.wav,,1,-1
1340.wav,,1,-1
1342.wav,,1,-1
1343.wav,,1,51
1345.wav,,1,51
1346.wav,,1,48
1347.wav,,1,51
1348.wav,,1,48
1349.wav,,1,24
1350.wav,,1,-1
1351.wav,,1,-1
1352.wav,,1,-1
1353.wav,,1,-1
1354.wav,,1,-1
1355.wav,,1,28
1356.wav,,1,-1
1357.wav,,1,-1
1358.wav,,1,-1
1360.wav,,1,-1
1361.wav,,1,-1
1363.wav,,1,-1
1368.wav,,1,-1
1369.wav,,1,38
1370.wav,,1,-1
1371.wav,,1,-1
1372.wav,,1,-1
1375.wav,,1,40
1376.wav,N9,1,-1
1377.wav,,1,38
1378.wav,,1,-1
1381.wav,,1,-1
1382.wav,,1,-1
1384.wav,,1,43
1385.wav,,1,-1
1386.wav,,1,-1
1387.wav,,1,-1
1388.wav,,1,-1
1389.wav,,1,43
1390.wav,,1,43
1391.wav,,1,50
1393.wav,,1,-1
1394.wav,,1,-1
1395.wav,,1,-1
1396.wav,,1,-1
1398.wav,,1,-1
1399.wav,,1,24
1400.wav,,1,24
1402.wav,,1,24
1405.wav,,1,24
1406.wav,,1,-1
1407.wav,,1,-1
1408.wav,,1,40
1409.wav,,1,-1
1410.wav,,1,-1
1411.wav,,1,-1
1412.wav,,1,43
1413.wav,,1,54
1415.wav,,1,43
1416.wav,,1,-1
1417.wav,,1,40
1418.wav,,1,-1
1419.wav,,1,40
1421.wav,,1,-1
1422.wav,,1,52
1423.wav,,1,-1
1424.wav,,1,-1
1425.wav,,1,-1
1426.wav,,1,-1
1427.wav,,1,-1
1428.wav,,1,-1
1429.wav,,1,-1
1430.wav,,1,-1
1431.wav,,1,-1
1432.wav,,1,-1
1433.wav,,1,-1
1434.wav,,1,-1
1435.wav,,1,-1
1436.wav,,1,-1
1437.wav,,1,-1
1438.wav,,1,-1
1439.wav,,1,43
1441.wav,,1,-1
1442.wav,,1,43
1443.wav,,1,-1
1445.wav,,1,-1
1446.wav,,1,-1
1447.wav,,1,-1
1448.wav,,1,-1
1449.wav,,1,-1
1450.wav,N9,1,-1
1451.wav,,1,-1
1452.wav,,1,-1
1454.wav,,1,-1
1455.wav,,1,-1
1456.wav,,1,-1
1457.wav,,1,-1
1458.wav,,1,-1
1459.wav,,1,40
1461.wav,,1,-1
1462.wav,,1,-1
1463.wav,,1,-1
1464.wav,,1,-1
1465.wav,,1,-1
1466.wav,,1,40
1467.wav,,1,-1
1468.wav,,1,-1
1469.wav,,1,40
1470.wav,,1,-1
1471.wav,,1,-1
1473.wav,,1,-1
1474.wav,,1,-1
1475.wav,,1,-1
1476.wav,,1,-1
1477.wav,,1,-1
1478.wav,,1,-1
1479.wav,,1,-1
1480.wav,,1,-1
1481.wav,,1,-1
1482.wav,,1,-1
1483.wav,,1,-1
1484.wav,,1,-1
1486.wav,,1,-1
1487.wav,,1,-1
1488.wav,,1,-1
1489.wav,,1,-1
1490.wav,,1,-1
1491.wav,,1,-1
1492.wav,,1,-1
1493.wav,,1,-1
1494.wav,,1,-1
1495.wav,,1,-1
1496.wav,,1,-1
1497.wav,,1,-1
1498.wav,,1,-1
1499.wav,,1,48
1500.wav,,1,-1
1501.wav,,1,-1
1503.wav,,1,-1
1504.wav,,1,-1
1505.wav,,1,40
1506.wav,,1,-1
1507.wav,,1,-1
1508.wav,,1,-1
1509.wav,,1,-1
1510.wav,,1,-1
1511.wav,,1,-1
1512.wav,,1,46
1513.wav,,1,-1
1514.wav,,1,40
1515.wav,,1,-1
1516.wav,,1,-1
1517.wav,,1,-1
1518.wav,,1,-1
1520.wav,,1,-1
1522.wav,,1,-1
1523.wav,,1,-1
1524.wav,,1,43
1525.wav,,1,-1
1526.wav,,1,43
1527.wav,,1,-1
1528.wav,,1,-1
1529.wav,,1,-1
1530.wav,,1,-1
1531.wav,,1,-1
1532.wav,,1,-1
1533.wav,,1,-1
1534.wav,,1,-1
1535.wav,,1,43
1536.wav,,1,43
1537.wav,,1,-1
1538.wav,,1,-1
1539.wav,,1,-1
1540.wav,,1,-1
1541.wav,,1,-1
1542.wav,,1,-1
1543.wav,,1,-1
1545.wav,,1,-1
1546.wav,,1,-1
1547.wav,,1,-1
1548.wav,,1,-1
1549.wav,,1,-1
1550.wav,,1,-1
1551.wav,,1,-1
1552.wav,,1,-1
1553.wav,,1,43
1554.wav,,1,-1
1555.wav,,1,40
1556.wav,,1,-1
1557.wav,,1,-1
1558.wav,,1,43
1559.wav,,1,-1
1560.wav,,1,-1
1561.wav,,1,47
1562.wav,,1,-1
1563.wav,,1,-1
1564.wav,,1,-1
1565.wav,N9,1,-1
1566.wav,,1,-1
1567.wav,,1,-1
1568.wav,,1,-1
1569.wav,N9,1,-1
1570.wav,,1,-1
1571.wav,,1,-1
1572.wav,,1,-1
1573.wav,,1,-1
1574.wav,,1,-1
1575.wav,,1,-1
1576.wav,,1,43
1577.wav,,1,-1
1578.wav,,1,-1
1579.wav,,1,-1
1580.wav,,1,-1
1582.wav,,1,-1
1583.wav,,1,-1
1584.wav,,1,-1
1585.wav,,1,-1
1587.wav,,1,-1
1589.wav,,1,57
1590.wav,,1,-1
1591.wav,,1,-1
1592.wav,,1,-1
1594.wav,,1,-1
1595.wav,,1,-1
1597.wav,,1,-1
1599.wav,,1,-1
1600.wav,,1,53
1601.wav,,1,-1
1602.wav,,1,-1
1603.wav,,1,40
1604.wav,,1,-1
1605.wav,,1,55
1607.wav,,1,-1
1608.wav,,1,-1
1610.wav,,1,55
1611.wav,,1,-1
1612.wav,,1,60
1613.wav,,1,-1
1618.wav,,1,53
1619.wav,,1,-1
1621.wav,,1,32
1622.wav,,1,32
1623.wav,,1,24
1625.wav,,1,24
1626.wav,,1,-1
1627.wav,,1,24
1628.wav,,1,-1
1631.wav,,1,-1
1633.wav,,1,-1
1634.wav,,1,46
1635.wav,,1,-1
1639.wav,,1,40
1640.wav,,1,40
1641.wav,,1,-1
1642.wav,,1,-1
1643.wav,,1,-1
1644.wav,,1,-1
1646.wav,,1,-1
1648.wav,,1,-1
1649.wav,,1,-1
1650.wav,,1,-1
1651.wav,,1,-1
1652.wav,,1,-1
1653.wav,,1,-1
1654.wav,,1,-1
1655.wav,,1,-1
1656.wav,,1,45
1657.wav,,1,38
1658.wav,,1,45
1659.wav,,1,54
1660.wav,N9,1,-1
1661.wav,,1,-1
1662.wav,,1,-1
1663.wav,,1,-1
1664.wav,,1,43
1666.wav,,1,-1
1667.wav,,1,-1
1668.wav,,1,-1
1669.wav,,1,-1
1670.wav,,1,55
1671.wav,,1,47
1672.wav,,1,-1
1673.wav,,1,47
1675.wav,,1,-1
1676.wav,,1,47
1678.wav,,1,-1
1679.wav,,1,-1
1680.wav,,1,50
1681.wav,,1,-1
1682.wav,,1,-1
1683.wav,,1,-1
1684.wav,,1,-1
1685.wav,,1,60
1686.wav,,1,-1
1687.wav,,1,-1
1688.wav,,1,54
1689.wav,,1,-1
1691.wav,,1,-1
1692.wav,,1,-1
1694.wav,,1,-1
1695.wav,,1,-1
1696.wav,,1,-1
1697.wav,,1,-1
1698.wav,,1,-1
1699.wav,N2,1,51
1701.wav,,1,-1
1702.wav,,1,-1
1703.wav,,1,-1
1704.wav,,1,-1
1705.wav,,1,-1
1707.wav,,1,54
1708.wav,,1,54
1709.wav,,1,48
1710.wav,,1,-1
1711.wav,,1,-1
1712.wav,,1,46
1713.wav,,1,-1
1716.wav,,1,47
1718.wav,,1,-1
1719.wav,,1,-1
1720.wav,,1,-1
1721.wav,,1,-1
1722.wav,,1,-1
1724.wav,,1,-1
1725.wav,,1,-1
1726.wav,,1,53
1727.wav,,1,-1
1730.wav,,1,-1
1731.wav,,1,57
1732.wav,,1,43
1733.wav,,1,-1
1735.wav,,1,-1
1737.wav,,1,-1
1738.wav,,1,-1
1739.wav,,1,-1
1740.wav,,1,-1
1741.wav,,1,-1
1742.wav,,1,-1
1746.wav,,1,-1
1747.wav,,1,-1
1751.wav,,1,-1
1755.wav,,1,32
1756.wav,,1,24
1757.wav,,1,-1
1758.wav,,1,24
1759.wav,,1,-1
1760.wav,,1,-1
1761.wav,,1,-1
1763.wav,,1,-1
1764.wav,,1,-1
1766.wav,,1,46
1767.wav,,1,57
1768.wav,,1,-1
1769.wav,,1,-1
1770.wav,,1,-1
1772.wav,,1,-1
1773.wav,,1,-1
1774.wav,,1,-1
1775.wav,,1,-1
1776.wav,,1,-1
1778.wav,,1,-1
1779.wav,,1,-1
1780.wav,,1,-1
1781.wav,,1,-1
1782.wav,,1,-1
1785.wav,,1,54
1788.wav,,1,54
1789.wav,,1,-1
1790.wav,,1,-1
1791.wav,,1,-1
1792.wav,,1,-1
1793.wav,,1,-1
1794.wav,,1,-1
1797.wav,,1,-1
1798.wav,,1,56
1799.wav,,1,-1
1800.wav,,1,-1
1801.wav,,1,-1
1804.wav,,1,-1
1805.wav,,1,43
1807.wav,,1,-1
1808.wav,N9,1,49
1810.wav,,1,-1
1811.wav,,1,-1
1812.wav,,1,-1
1814.wav,,1,51
1816.wav,,1,49
1817.wav,,1,60
1818.wav,,1,43
1821.wav,,1,-1
1822.wav,,1,-1
1823.wav,,1,-1
1825.wav,,1,-1
1826.wav,,1,-1
1827.wav,,1,-1
1828.wav,,1,-1
1829.wav,,1,-1
1830.wav,,1,-1
1831.wav,,1,-1
1832.wav,,1,-1
1833.wav,,1,-1
1834.wav,,1,-1
1835.wav,,1,57
1836.wav,,1,54
1837.wav,,1,-1
1839.wav,,1,-1
1840.wav,,1,48
1841.wav,,1,-1
1843.wav,,1,-1
1844.wav,,1,40
1846.wav,,1,-1
1847.wav,,1,-1
1849.wav,,1,-1
1850.wav,,1,-1
1851.wav,,1,-1
1852.wav,,1,-1
1853.wav,,1,-1
1854.wav,,1,57
1855.wav,,1,-1
1856.wav,,1,-1
1857.wav,,1,-1
1858.wav,,1,-1
1859.wav,,1,40
1860.wav,,1,-1
1861.wav,,1,-1
1862.wav,,1,-1
1863.wav,,1,-1
1864.wav,,1,-1
1865.wav,,1,-1
1866.wav,,1,-1
1867.wav,,1,-1
1868.wav,,1,48
1869.wav,,1,47
1870.wav,,1,49
1871.wav,,1,47
1872.wav,,1,-1
1873.wav,,1,-1
1874.wav,,1,50
1875.wav,,1,48
1876.wav,,1,-1
1877.wav,,1,29
1879.wav,,1,58
1880.wav,,1,47
1881.wav,,1,-1
1882.wav,,1,-1
1883.wav,,1,52
1884.wav,,1,-1
1885.wav,,1,43
1886.wav,,1,43
1887.wav,,1,48
1888.wav,,1,-1
1890.wav,,1,-1
1891.wav,,1,43
1892.wav,,1,43
1895.wav,,1,-1
1896.wav,,1,-1
1897.wav,,1,32
1915.wav,,1,52
1916.wav,,1,-1
1917.wav,,1,59
1920.wav,,1,48
1923.wav,,1,-1
1924.wav,,1,-1
1925.wav,,1,48
1927.wav,,1,48
1928.wav,,1,48
1930.wav,,1,-1
1931.wav,,1,-1
1933.wav,,1,-1
1934.wav,,1,-1
1935.wav,,1,-1
1936.wav,,1,-1
1937.wav,,1,-1
1938.wav,,1,-1
1941.wav,,1,48
1942.wav,,1,-1
1943.wav,,1,-1
1945.wav,,1,-1
1946.wav,,1,48
1947.wav,,1,48
1948.wav,,1,-1
1950.wav,,1,48
1951.wav,,1,-1
1955.wav,,1,-1
1956.wav,,1,-1
1957.wav,,1,-1
1958.wav,,1,-1
1960.wav,,1,-1
1961.wav,,1,-1
1964.wav,,1,-1
1969.wav,,1,-1
1970.wav,,1,48
1971.wav,,1,-1
1972.wav,,1,56
1975.wav,,1,-1
1976.wav,,1,48
1977.wav,,1,-1
1979.wav,,1,56
1980.wav,,1,-1
1982.wav,,1,56
1983.wav,,1,-1
1984.wav,,1,48
1985.wav,,1,46
1987.wav,,1,48
1988.wav,,1,48
1989.wav,,1,-1
1991.wav,,1,48
1993.wav,,1,48
1994.wav,,1,56
1995.wav,,1,48
1996.wav,,1,-1
1997.wav,,1,48
1998.wav,,1,-1
2001.wav,,1,-1
2002.wav,,1,48
2003.wav,,1,-1
2006.wav,,1,56
2008.wav,,1,-1
2010.wav,,1,48
2011.wav,,1,48
2013.wav,,1,48
