fn,start,stop,label
1748.WAV,577.9567189534172,578.1713929444726,bm
1748.WAV,601.1323153081985,601.4197014575146,be
1748.WAV,602.7464977613695,603.0511963293192,bf
1748.WAV,605.066361858259,605.332973105215,io
1748.WAV,606.5143450925485,606.8952183024855,bx
1748.WAV,607.7400643318006,608.01360054621,fa
1748.WAV,609.3438593337916,609.7351199949088,bx
1748.WAV,611.1235759693159,611.4213495698122,be
1748.WAV,612.4538347568973,612.7516083573936,io
1748.WAV,614.2266264249682,614.5313249929179,fa
1748.WAV,615.8892836503131,616.2666943765234,bx
1748.WAV,617.4162389737882,617.7347874766447,be
1748.WAV,619.4770818277037,619.7402305909329,io
1748.WAV,621.0386619884458,621.3191231703086,fa
1748.WAV,622.3516083573938,622.6666943765235,be
1748.WAV,624.6444376209981,624.9733735750348,bf
1748.WAV,626.2337176515539,626.5245662845967,io
1748.WAV,627.581288857769,628.0071743561532,bx
1748.WAV,629.132481567331,629.4060177817404,fa
1748.WAV,630.6386619884458,630.9260481377621,be
1748.WAV,632.2666943765237,632.5610054932932,io
1748.WAV,633.7382499603716,634.1225856540353,bx
1748.WAV,636.0206917727959,636.3046154383853,cm
1748.WAV,638.1715592036056,638.6043696694433,bx
1748.WAV,640.6479001047251,640.9560611564015,cm
1748.WAV,644.4503722731712,644.7689207760276,cm
1748.WAV,646.0604272060871,646.4759252532912,bx
1748.WAV,648.4571309814926,648.7514420982621,cm
1748.WAV,651.1758457434811,651.5151691486979,bg
1748.WAV,655.3695785730442,655.7400643318012,af
1748.WAV,656.5094007556573,656.9145113516813,fb
1748.WAV,657.9463315022382,658.2925798749083,bg
1748.WAV,659.4081646714343,659.7682629790112,af
1748.WAV,662.039652303727,662.4343754485709,fb
1748.WAV,663.7092344965253,664.048557901742,bg
1748.WAV,665.6835152572733,666.1024757882041,af
1748.WAV,668.9105500905586,669.3606729750296,fq
1748.WAV,671.7746891690686,672.0343754485712,cr
1748.WAV,672.6963748768994,673.0010734448491,ic
1748.WAV,673.7974447019903,674.206017781741,fq
1748.WAV,675.7024757882042,675.9725495188869,cr
1748.WAV,676.782770710935,677.1705688883254,fq
1748.WAV,679.0063503000052,679.3041239005015,ic
1748.WAV,680.7237422284489,680.966116089318,cr
1748.WAV,681.9252240816141,682.2991723240979,fq
1748.WAV,683.4459194741642,683.7090682373935,cr
1748.WAV,685.2263011462169,685.5067623280797,db
1748.WAV,686.6424569904376,687.054492553915,fq
1748.WAV,689.3265469151592,689.7697448321769,fq
1748.WAV,690.5037913822374,690.7704026291934,cr
1767.WAV,26.15787552782906,26.455649128325337,en
1767.WAV,27.546331502236136,27.885654907452828,ds
1767.WAV,77.95688521254837,78.22349645950433,ah
1767.WAV,82.14023059093142,82.44492915888111,en
1767.WAV,83.62909859341283,83.97188448235622,ds
1767.WAV,85.04938195788854,85.40948026546545,hg
1767.WAV,86.44476289974902,86.711374146705,dd
1767.WAV,87.77848417105723,88.07625777155351,ao
1767.WAV,89.29158955962555,89.66553780210924,hg
1767.WAV,91.00272155714414,91.27279528782682,dd
1767.WAV,92.72703845304122,93.0213495698108,ao
1767.WAV,94.85020601403724,95.096042358633,he
1767.WAV,96.8244867747851,97.1568852125484,cc
1767.WAV,97.9186316324226,98.20948026546549,hd
1767.WAV,99.4282745372642,99.7641354587542,ip
1767.WAV,100.87972025528022,101.10824418124248,he
1767.WAV,102.74253650024532,103.0333851332882,hd
1767.WAV,104.07279528782682,104.4017312418634,ip
1767.WAV,107.00964652459756,107.30049515764044,hd
1767.WAV,114.1956303305587,114.51764131714188,hd
1767.WAV,116.10758638422594,116.43305985453584,ip
1767.WAV,117.59299190298064,117.89422798720362,db
1767.WAV,118.87477591838834,119.31104886795264,bq
1767.WAV,122.98540913851068,123.32473254372736,db
1767.WAV,124.44657727117848,124.83091296484228,da
1767.WAV,128.09323767192288,128.39793623987256,db
1767.WAV,131.24476289974902,131.55638643515212,db
1767.WAV,132.90049515764042,133.1809563395032,eg
1767.WAV,134.2127764900601,134.52786250918987,br
1767.WAV,135.50494795664784,135.80964652459753,ed
1767.WAV,136.92802876832192,137.20848995018468,eg
1767.WAV,139.3524324135409,139.6467435303105,br
1767.WAV,142.03305985453576,142.33775842248545,ed
1767.WAV,144.3425365002453,144.59529781229446,eg
1767.WAV,168.73412967962653,169.03536576384954,en
1767.WAV,169.81508963888558,170.1059382719285,ds
1767.WAV,170.9715592036037,171.3420449623607,hg
1767.WAV,172.4569647223584,172.7201134855877,dd
1767.WAV,174.02267240335553,174.43817045055962,hg
1767.WAV,175.27262902869455,175.56001517801073,ao
1767.WAV,176.7586995839776,177.06339815192726,en
1767.WAV,177.78359476708107,178.13330562347787,ds
1767.WAV,179.14781335540124,179.52522408161164,hg
1767.WAV,180.336110310188,180.5888716222372,dd
1767.WAV,181.3817803956517,181.6934039310548,ao
1767.WAV,182.5181400945379,183.03405016981637,em
1767.WAV,184.0866452227334,184.3601814371428,dd
1767.WAV,186.7915100498152,187.08928365031147,en
1026.WAV,0.316205067766647,0.9001113075361749,dl
1026.WAV,2.4349505663589337,2.8424932888103185,bi
1026.WAV,5.1508131715314605,5.710886503555293,dl
1026.WAV,6.914448344712891,7.293391577869442,bi
1026.WAV,9.24183489053762,9.81859125798344,ac
1026.WAV,11.093247077886025,11.71952282278517,dl
1026.WAV,13.89641807228513,14.299194213187375,bi
1026.WAV,15.519072584143997,15.824000849450696,ce
1026.WAV,18.407451050679963,18.719662142148568,ae
1026.WAV,20.25756187766949,20.53668852052716,ce
1026.WAV,21.91878035458723,22.183325630564447,aa
1026.WAV,23.931147507755327,24.24780378326613,ce
1026.WAV,27.45144623590064,27.777484919574725,ae
1026.WAV,30.087991734871643,30.37160333704541,cr
1026.WAV,32.11617218403029,32.51656503415796,fq
1026.WAV,36.84518979976092,37.15263430968038,ce
1026.WAV,38.74521987549198,39.08437709997023,cg
1026.WAV,40.56478066800376,40.84600897940297,cr
1026.WAV,43.03369663647612,43.40072341575983,ci
1026.WAV,45.87934582131211,46.16772400503502,cr
1026.WAV,47.4817088650615,47.84527718138872,fq
1026.WAV,49.48051448069991,49.87375745850388,ci
1026.WAV,51.39668026345379,51.675525284078425,ec
1026.WAV,54.45537389318776,54.829550544795175,ch
1026.WAV,56.42158878220761,56.805298596913296,ci
1026.WAV,58.80140738816583,59.10408531653615,ec
1026.WAV,60.63196427603012,61.02282396305952,ci
1026.WAV,63.791482149156174,64.0798603328791,ec
1026.WAV,65.36683735114663,65.6814317333898,ea
1026.WAV,67.47936454337649,67.87022423040588,cl
1026.WAV,69.13860039900615,69.44007350289185,ck
1026.WAV,71.06457586129541,71.38632011586229,ea
1026.WAV,74.60817403918577,74.89787083509428,fg
1026.WAV,76.10744586630284,76.49830555333224,cl
1026.WAV,82.53538695732496,82.85474792111727,ea
1026.WAV,83.90860602872856,84.2595395637205,fc
1026.WAV,84.48027571427426,85.00569064261718,em
1026.WAV,86.57874252393272,86.8933369061759,dn
1026.WAV,88.71141585003075,89.26028680196042,ap
1026.WAV,90.49172804026418,91.23293838560512,cb
1026.WAV,93.49140690914048,93.99189797180009,df
1026.WAV,96.13375068418496,96.72719008705276,dl
1026.WAV,120.54173010979991,120.86675579992668,ab
1026.WAV,120.88795312754364,121.12112373133024,bx
1026.WAV,122.13646125612796,122.46384220487884,fb
1026.WAV,123.01052061329156,123.56173716757988,ac
1026.WAV,123.7547750836831,124.3083371653168,ac
1026.WAV,126.39979380857388,126.72630464468988,ae
1026.WAV,128.86646401484728,129.4552102068744,ac
1026.WAV,132.1466879305057,132.45630744185064,ae
1026.WAV,133.9177416904667,134.22970676189584,ce
1026.WAV,137.13545741843907,137.4286576735417,ce
1026.WAV,139.12671084808676,139.39756558985906,aa
1026.WAV,140.2572349876581,140.62936585026702,bq
1026.WAV,141.22117041763258,141.5331355313362,ae
1026.WAV,141.55576827751418,141.98266784894358,bq
1026.WAV,142.55816376207667,142.8255624309655,cr
1026.WAV,142.95621708624003,143.23299812705687,cr
1026.WAV,144.31609174695575,144.6632408960395,fq
1026.WAV,145.06668426058917,145.35050210752848,db
1026.WAV,145.8196228588657,146.1878824291775,ci
1026.WAV,147.159210061713,147.72450015355082,em
1026.WAV,162.3718215754836,162.6638736448729,dn
1026.WAV,162.89468899003535,163.06897812821927,dd
1026.WAV,163.77555571545136,164.1900812332942,dl
1026.WAV,166.91320260036727,167.22757664900954,dn
1026.WAV,170.5970577937969,170.93717008971592,en
1026.WAV,171.18814950808374,171.5352986101252,ds
1026.WAV,171.96096400236067,172.32131857184902,ds
1026.WAV,172.98525384241998,173.31832933221654,ak
1026.WAV,173.33156295079678,173.55060200283873,dd
1026.WAV,174.0783043934425,174.37854145466756,dn
1026.WAV,174.58495443425977,174.89926510772978,ao
1026.WAV,175.25542655399383,175.7665176492145,ap
1026.WAV,176.33280112573877,176.8980912175766,em
1026.WAV,177.03882734002582,177.42350607472045,cl
1026.WAV,178.01706778140394,178.28681201609834,dd
1026.WAV,178.32434164875147,178.61754190385406,br
1026.WAV,179.5559071105382,179.9265122329879,cn
1026.WAV,181.2465115195804,181.54674858080548,br
1026.WAV,181.86105925427543,182.27623081550075,bj
1026.WAV,186.034382846319,186.2871950326468,br
1026.WAV,186.30368184301557,186.50387882606464,br
1026.WAV,188.20399292406807,188.4273598647565,ac
1026.WAV,188.43913615787704,188.91018788269844,ac
1026.WAV,189.51081385152708,189.8861101780584,bx
1026.WAV,189.92363981071156,190.26609770867137,bx
1026.WAV,190.76597006341288,191.0556668593214,ab
1026.WAV,192.05725552012063,192.56128086567952,ag
1026.WAV,193.15308354888805,193.47443102848047,cr
1026.WAV,193.5679625133352,193.93302758135,am
1026.WAV,194.35872299787,194.7222913141972,da
1026.WAV,195.40498589843185,195.72398777598343,el
1026.WAV,195.86083654202517,196.1787964399735,ds
1026.WAV,197.2214111916966,197.53466058870285,bc
1026.WAV,198.01601414093287,198.4241488960357,bx
1026.WAV,198.6139727249532,198.89189324259783,be
1026.WAV,199.19293170303536,199.52366159079108,be
1026.WAV,199.79809702956712,200.1358637234453,fa
1026.WAV,200.4267183765071,201.06003092752871,ac
1026.WAV,201.09526742895667,201.40380630871468,bx
1026.WAV,201.8296371776296,202.1791318817119,ab
1026.WAV,203.5419266674288,203.83278132049057,cr
1026.WAV,205.92378496267477,206.1982204014508,db
1026.WAV,206.3211392041235,206.70112673473648,ci
1026.WAV,207.2771158522285,207.59272049167356,hd
1026.WAV,207.69331639800367,207.9958990612696,ec
1026.WAV,210.14484370172892,210.43804395683156,cr
1026.WAV,210.56998840783575,210.94918502687048,fq
1026.WAV,211.4325792221396,211.7656547119361,db
1026.WAV,212.4954421100076,212.85579666101577,cg
1026.WAV,213.9082615990184,214.1944250479985,ah
1026.WAV,216.7390742688338,217.026415806239,dh
1026.WAV,219.3004478423529,219.65373663596893,fc
1026.WAV,219.80918370516,220.47336663715816,em
1026.WAV,222.67027868408937,223.04712004462075,hg
1026.WAV,226.4787633962341,226.79072846766323,br
1026.WAV,227.20120882480688,227.5413211207259,bj
1026.WAV,231.63172519823948,231.9601094839544,bj
1026.WAV,233.92913792217809,234.32011083372944,cn
1026.WAV,236.55645899524671,236.7660770020423,bm
1026.WAV,237.07697112448068,237.40670731494563,da
1026.WAV,237.974324614246,238.33703442375747,el
1026.WAV,239.55196522695616,239.83695150585805,bd
1026.WAV,239.8557935738846,240.2137928663894,bd
1026.WAV,241.59132314331003,241.8235377453513,bm
1026.WAV,242.36283504673327,242.7184790807348,da
1026.WAV,243.86313471334884,244.2658839174168,fe
1026.WAV,244.2753049514301,244.678054155498,ba
1026.WAV,247.16110339274312,247.4402300356008,dr
1026.WAV,247.98523281526545,248.25732265200065,db
1026.WAV,248.6541728450326,248.97448800148427,fa
1026.WAV,251.1727691055266,251.54489994905137,hd
1026.WAV,251.96374704756505,252.24991049654517,be
1026.WAV,252.81627281219585,253.2478635877069,bx
1026.WAV,253.50644769780283,253.77730242568475,dr
1026.WAV,254.4159734040356,254.7748505162812,ab
1026.WAV,254.92984875425245,255.5106705043536,ac
1026.WAV,255.7023735433418,256.0368202508134,br
1026.WAV,256.7423603564961,257.1035830707825,ae
1026.WAV,258.22243524425403,258.5953859687445,ce
1026.WAV,260.04689923329573,260.4755562809002,ag
1026.WAV,261.4215105462557,261.7545860360523,cr
1026.WAV,262.5919659646253,262.92738705646263,db
1026.WAV,264.90388460307264,265.2077129500011,hd
1026.WAV,265.3623707555463,265.6649534188122,cr
1026.WAV,266.9529377199345,267.3024324240168,ae
1026.WAV,268.6458467006914,269.0250433197261,cg
1026.WAV,269.046240646256,269.4725424353571,ag
1026.WAV,270.1073225297117,270.38410357052857,cr
1026.WAV,270.48059307477854,270.89040805435644,bi
1026.WAV,271.1042033970606,271.47246291746944,bq
1026.WAV,271.831340029715,272.0893562542053,ec
1026.WAV,275.8302656276366,276.1516131072291,db
1026.WAV,276.6764533019833,277.0236024040248,ci
1026.WAV,277.42000914892355,277.74839343463844,da
1026.WAV,278.5928101693339,278.86724560810995,ec
1026.WAV,278.98768546054475,279.2703164809433,hd
1026.WAV,281.341529879498,281.65349495092715,ao
1026.WAV,281.97718803256043,282.33137394072435,ea
1026.WAV,283.5604694101145,283.9099641141968,cl
1026.WAV,285.54424122104587,285.89046422103405,ck
1026.WAV,286.5515266914374,286.8318024533326,hg
1026.WAV,286.91423650094885,287.17095967781086,fg
1026.WAV,287.75572686362653,288.3092889452603,em
1026.WAV,288.32805376158683,288.6939676799549,cl
1026.WAV,289.29463767877667,289.57962395767856,dd
1026.WAV,289.76064194613883,290.124210262466,dn
1026.WAV,290.5065433951198,290.81147166042655,ao
1026.WAV,291.1800519863921,291.6157748095065,ap
1026.WAV,293.012443101976,293.3186267074077,hd
1026.WAV,293.33511351693096,293.69075755093246,ds
1026.WAV,294.6091469506771,294.85409383502247,hg
1026.WAV,295.2287378647154,295.53132052798134,ak
1026.WAV,300.62081307646747,300.97410185196566,fc
1026.WAV,301.3184183241096,301.6561850179877,bc
1026.WAV,306.9633818922978,307.3105309943393,en
1026.WAV,307.4794143412784,307.8336002494423,ds
1026.WAV,308.27097395153964,308.62426272703783,hg
1026.WAV,309.20754871988066,309.5734626382487,ak
1026.WAV,309.83075883321743,310.1039688196027,dd
1026.WAV,310.61668088402445,310.9403739656577,dn
1026.WAV,311.43060479218923,311.7238050472919,ao
1026.WAV,312.1600870268845,312.6878474860692,ap
1026.WAV,314.19080373184573,314.7701674359285,dl
1026.WAV,315.3990322709973,315.7334789784689,hd
1026.WAV,316.03621787558205,316.41855100823585,bi
1026.WAV,317.1667980592577,317.7086321306873,ac
1026.WAV,319.26952971164616,319.5345827422589,aa
1026.WAV,320.6568545960814,320.998367079063,ae
1026.WAV,324.6658598004144,324.97782487184355,ce
1026.WAV,325.4445507953606,325.76957646881897,bu
1026.WAV,327.757414645622,328.04711144153055,hd
1026.WAV,328.5778698621284,328.9429349301432,bu
1026.WAV,339.4445206145924,339.737720869695,ah
1026.WAV,340.93866911459526,341.2834726145959,ah
1026.WAV,343.7694848961881,344.04626593700493,en
1026.WAV,344.41452545741384,344.7663657635369,ds
1026.WAV,346.23236703905,346.5795161410914,ds
1026.WAV,347.41190428769795,347.779324614216,hg
1026.WAV,347.88486748995655,348.21090617363063,ak
1026.WAV,349.2758095001633,349.60419378587824,dn
1026.WAV,349.976619381264,350.2192110071061,dd
1026.WAV,351.01057786422194,351.3073404356404,ao
1026.WAV,352.69055579956466,353.2276986669126,ap
1026.WAV,354.91938039415464,355.27737968665946,ds
1026.WAV,355.8449969859599,356.1794436934315,hg
1026.WAV,356.616643680772,356.9684839868951,ak
1026.WAV,359.23635527869084,359.6022691970589,dn
1026.WAV,361.02839523787793,361.5983765337974,ap
1026.WAV,364.3869714786554,364.69659094804376,ah
1026.WAV,366.4088804378429,366.71849990723126,au
1026.WAV,369.46738834474513,369.84422970527646,fc
1026.WAV,370.0915318481252,370.6921227664721,em
1026.WAV,371.9365241766693,372.14143166645823,br
1026.WAV,373.0374165716215,373.2847187144702,eg
1026.WAV,374.5903876456155,374.963338370106,cn
1026.WAV,376.0442106388906,376.3514845062381,br
1026.WAV,376.7267808327695,377.11849637358654,bj
1026.WAV,378.04266357766994,378.3851214756298,cn
1026.WAV,379.8585261166175,380.0681441234131,bm
1026.WAV,381.1562735519474,381.5990621505719,fe
1026.WAV,382.84847661454086,383.0713088084189,bm
1026.WAV,384.1427986690402,384.5556246282246,ba
1026.WAV,384.5978454649594,385.0364730465929,ba
1026.WAV,386.0615011384316,386.3593925976159,be
1026.WAV,387.3853681860047,387.6199283900867,dr
1026.WAV,388.39464677345336,388.68669882786514,hj
1026.WAV,388.8484495339942,389.20967224828064,bx
1026.WAV,390.2933403911399,390.60999666665066,be
1026.WAV,390.8164096462429,391.102573095223,be
1026.WAV,392.11073170074224,392.36405672115086,dr
1026.WAV,393.6869762721738,393.9144996701334,bm
1026.WAV,394.595941084468,395.0528612341122,ba
1026.WAV,401.9409046911025,402.2400225210243,be
1026.WAV,403.6060724529505,403.9287428679055,fa
1026.WAV,405.409892289552,405.7429677793486,ea
1026.WAV,407.0043273518276,407.3866604844814,cl
1026.WAV,408.7510031126118,409.06896301056014,ck
1026.WAV,410.0539831759621,410.3612570433097,ea
1026.WAV,411.64211291355633,411.9294544656974,fg
1026.WAV,413.3495141364096,413.7145792044244,fc
1026.WAV,414.9410685042536,415.31636483078495,cl
1026.WAV,417.0325944345383,417.3505543324866,ck
1026.WAV,418.4810784140808,418.80610408753904,ea
1026.WAV,421.2365697833229,421.6204769193643,fc
1026.WAV,424.3708748501778,424.68647948962285,ck
1026.WAV,425.6615565099978,425.9865821834561,ea
1026.WAV,430.43435641076456,430.7287637387779,fg
1026.WAV,432.336640364695,432.7134817252263,cl
1026.WAV,442.3260152694936,442.6439751674419,dn
1026.WAV,463.6248575944956,463.914554390404,ah
1026.WAV,465.4219198325296,465.7163271454447,au
1026.WAV,467.45631917833344,467.7201081307055,en
1026.WAV,468.9424872939291,469.2957760694273,ds
1026.WAV,472.8968052413617,473.2383177243432,ak
1026.WAV,474.3659425463685,474.65799460078034,dn
1026.WAV,476.00755772318337,476.5633987299672,ap
1026.WAV,478.0405884843852,478.7919159469446,cb
1026.WAV,481.2294470813314,481.6109989588695,cc
1026.WAV,482.8427991561064,483.3374034418038,df
1026.WAV,484.6269370767181,484.9872916462064,cd
1026.WAV,487.24521963474217,487.6361925462935,cc
1026.WAV,489.4058169396383,489.7473294226199,au
1026.WAV,491.00032694638674,491.5797205382037,dl
1026.WAV,492.8739649614855,493.2743589070501,bi
1026.WAV,495.140931146639,495.48244362962055,ce
1026.WAV,496.5611520241416,497.17822975201176,dl
1026.WAV,498.72311791363984,499.1117355666878,bi
1026.WAV,500.7357165173416,501.3151101091586,ac
1026.WAV,502.8947233958572,503.4741169876742,dl
1026.WAV,505.28180776468,505.7010437782711,bi
1026.WAV,508.1631138954,508.4692975165339,ce
1026.WAV,509.8006223255638,510.05734551559146,aa
1026.WAV,511.6495003454877,511.9556839666216,ce
1026.WAV,513.5782955878373,513.9292291228292,ae
1026.WAV,516.6319181374986,516.902772879271,cr
1026.WAV,522.7023041799599,523.0744350425688,ci
1026.WAV,524.4616823721678,524.7325371139401,ec
1026.WAV,525.8020455870924,526.1576896393326,ch
1026.WAV,527.7981573514368,528.0831436449537,ec
1026.WAV,529.1948257155321,529.5834433885099,ci
1026.WAV,533.4690759188904,533.7658385055279,ec
1026.WAV,535.1737393002551,535.5388043869916,ci
1026.WAV,536.8389071474986,537.1521565445049,ea
1026.WAV,539.1105838339568,539.5086225414308,cl
1026.WAV,540.8113016183695,541.1410378257444,ck
1026.WAV,542.4317195517551,542.7426136901372,ea
1026.WAV,544.7887892350905,545.0808413044797,fg
1026.WAV,545.4364852573538,545.966418420601,em
1026.WAV,549.0761850120891,549.4506711333221,cl
1026.WAV,552.1223591572765,552.4403190715309,ck
1026.WAV,554.8438902409389,555.1877580000585,ea
1026.WAV,557.431554211629,557.829592919103,fc
1026.WAV,559.0904813641243,559.3566255886484,fg
1026.WAV,559.6402428819445,560.1748865621984,em
1026.WAV,573.5387775116371,573.8788898362027,cn
1026.WAV,575.6990771731881,575.9946230552243,br
1026.WAV,577.2427323475297,577.5101310027054,dr
1026.WAV,580.5285948055164,580.8569791188901,br
1026.WAV,582.1869355880534,582.637291217823,bj
1026.WAV,584.3788000504265,584.7681700219982,cn
1026.WAV,587.6058981701646,587.9647753126372,cn
1026.WAV,589.5808952548832,589.8084186720064,bm
1026.WAV,591.1280534170406,591.6485655729682,fe
1026.WAV,592.650139236701,592.9621043344059,el
1026.WAV,594.6692522036716,594.8944300185564,bm
1026.WAV,597.2236130412709,597.5801445815051,bc
1026.WAV,598.3567874869883,598.7883782988508,ba
1026.WAV,599.9846354404262,600.4842487172019,bd
1026.WAV,601.8396805329992,602.1516456307041,be
1026.WAV,603.3479027722797,603.6129558252169,dr
1026.WAV,604.8908584848585,605.4373838064018,ac
1026.WAV,607.5587559193343,607.8918314371848,bx
1026.WAV,609.514988186146,609.8246076816125,be
1026.WAV,611.9968839189338,612.2947754032084,dr
1026.WAV,613.6923037770075,614.3303075858478,ac
1026.WAV,615.953464334809,616.2607382280372,ae
1026.WAV,617.662957806313,617.9467756771573,fa
1026.WAV,620.4795758712409,620.8431442181903,bx
1026.WAV,623.1420826394773,623.4563933394206,be
1026.WAV,624.8098058309678,625.074858883905,dr
1026.WAV,626.6890060707802,627.2660242214225,ac
1026.WAV,629.2771530291511,629.6618317962459,bx
1026.WAV,632.7928845064994,633.1423792400185,be
1026.WAV,635.2979876970927,635.5583495455533,fa
1026.WAV,636.8347300101012,637.1443495055679,be
1026.WAV,638.6947925851392,638.9739192515068,dr
1026.WAV,640.286182874486,640.8256713893143,ac
1026.WAV,642.7868434251811,643.1457205676537,bx
1026.WAV,644.4404930032413,644.7899877367604,ci
1026.WAV,650.1487877309112,650.4865544532385,cn
1026.WAV,652.0604535551936,652.3419258237996,br
1026.WAV,657.0253169924927,657.4146869640642,cn
1026.WAV,659.1433958137527,659.4436329002657,br
